bg,humus_kat,pH_lo,pH_hi,CaO
1,<4,,4.0,45
1,<4,4.1,4.1,42
1,<4,4.2,4.2,39
1,<4,4.3,4.3,36
1,<4,4.4,4.4,33
1,<4,4.5,4.5,30
1,4.1-8.0,,3.7,50
1,4.1-8.0,3.8,3.8,46
1,4.1-8.0,3.9,3.9,43
1,4.1-8.0,4.0,4.0,39
1,4.1-8.0,4.1,4.1,35
1,4.1-8.0,4.2,4.2,32
1,8.1-15.0,,3.4,50
1,8.1-15.0,3.5,3.5,47
1,8.1-15.0,3.6,3.6,43
1,8.1-15.0,3.7,3.7,39
1,8.1-15.0,3.8,3.8,35
1,8.1-15.0,3.9,3.9,31
1,15.1-30.0,,3.1,21
1,15.1-30.0,3.2,3.2,19
1,15.1-30.0,3.3,3.3,18
1,15.1-30.0,3.4,3.4,16
1,15.1-30.0,3.5,3.5,15
1,15.1-30.0,3.6,3.6,13
1,<4,4.6,4.6,27
1,<4,4.7,4.7,24
1,<4,4.8,4.8,22
1,<4,4.9,4.9,19
1,<4,5.0,5.0,16
1,<4,5.1,5.1,13
1,<4,5.2,5.2,10
1,<4,5.3,5.3,7
1,4.1-8.0,4.3,4.3,28
1,4.1-8.0,4.4,4.4,24
1,4.1-8.0,4.5,4.5,21
1,4.1-8.0,4.6,4.6,17
1,4.1-8.0,4.7,4.7,13
1,4.1-8.0,4.8,4.8,10
1,4.1-8.0,4.9,4.9,6
1,8.1-15.0,4.0,4.0,28
1,8.1-15.0,4.1,4.1,24
1,8.1-15.0,4.2,4.2,20
1,8.1-15.0,4.3,4.3,16
1,8.1-15.0,4.4,4.4,13
1,8.1-15.0,4.5,4.5,9
1,8.1-15.0,4.6,4.6,5
1,15.1-30.0,3.7,3.7,12
1,15.1-30.0,3.8,3.8,10
1,15.1-30.0,3.9,3.9,9
1,15.1-30.0,4.0,4.0,7
1,15.1-30.0,4.1,4.1,6
1,15.1-30.0,4.2,4.2,4
1,<4,5.4,5.8,6
1,4.1-8.0,5.0,5.4,5
1,8.1-15.0,4.7,5.1,4
1,15.1-30.0,4.3,4.7,3
2,<4,,4.0,77
2,<4,4.1,4.1,73
2,<4,4.2,4.2,69
2,<4,4.3,4.3,65
2,<4,4.4,4.4,61
2,<4,4.5,4.5,57
2,<4,4.6,4.6,53
2,<4,4.7,4.7,49
2,<4,4.8,4.8,46
2,4.1-8.0,,3.7,82
2,4.1-8.0,3.8,3.8,78
2,4.1-8.0,3.9,3.9,73
2,4.1-8.0,4.0,4.0,69
2,4.1-8.0,4.1,4.1,64
2,4.1-8.0,4.2,4.2,60
2,4.1-8.0,4.3,4.3,55
2,4.1-8.0,4.4,4.4,51
2,4.1-8.0,4.5,4.5,46
2,8.1-15.0,,3.3,83
2,8.1-15.0,3.4,3.4,78
2,8.1-15.0,3.5,3.5,74
2,8.1-15.0,3.6,3.6,69
2,8.1-15.0,3.7,3.7,64
2,8.1-15.0,3.8,3.8,60
2,8.1-15.0,3.9,3.9,55
2,8.1-15.0,4.0,4.0,51
2,8.1-15.0,4.1,4.1,46
2,15.1-30.0,,3.0,31
2,15.1-30.0,3.1,3.1,29
2,15.1-30.0,3.2,3.2,27
2,15.1-30.0,3.3,3.3,26
2,15.1-30.0,3.4,3.4,24
2,15.1-30.0,3.5,3.5,22
2,15.1-30.0,3.6,3.6,20
2,15.1-30.0,3.7,3.7,19
2,<4,4.9,4.9,42
2,<4,5.0,5.0,38
2,<4,5.1,5.1,34
2,<4,5.2,5.2,30
2,<4,5.3,5.3,26
2,<4,5.4,5.4,22
2,<4,5.5,5.5,19
2,<4,5.6,5.6,15
2,<4,5.7,5.7,11
2,4.1-8.0,4.6,4.6,42
2,4.1-8.0,4.7,4.7,37
2,4.1-8.0,4.8,4.8,33
2,4.1-8.0,4.9,4.9,28
2,4.1-8.0,5.0,5.0,24
2,4.1-8.0,5.1,5.1,19
2,4.1-8.0,5.2,5.2,15
2,4.1-8.0,5.3,5.3,10
2,8.1-15.0,4.2,4.2,41
2,8.1-15.0,4.3,4.3,37
2,8.1-15.0,4.4,4.4,32
2,8.1-15.0,4.5,4.5,27
2,8.1-15.0,4.6,4.6,23
2,8.1-15.0,4.7,4.7,18
2,8.1-15.0,4.8,4.8,13
2,8.1-15.0,4.9,4.9,9
2,15.1-30.0,3.8,3.8,17
2,15.1-30.0,3.9,3.9,15
2,15.1-30.0,4.0,4.0,14
2,15.1-30.0,4.1,4.1,12
2,15.1-30.0,4.2,4.2,10
2,15.1-30.0,4.3,4.3,8
2,15.1-30.0,4.4,4.4,7
2,15.1-30.0,4.5,4.5,5
2,<4,5.8,6.3,10
